Name,Geography_Type,Year,Resident_Population,Percent_Pop_Change,Pop_Density,Pop_Density_Rank,Num_Reps,Change_Num_Reps,Apportionment_Per_Rep
Alaska,State,1990,550043,36.9,1,52,1,0,551947
Arizona,State,1990,3665228,34.8,32.3,39,6,1,612998
Arkansas,State,1990,2350725,2.8,45.2,37,4,0,590560
California,State,1990,29760021,25.7,191,14,52,7,573832
Colorado,State,1990,3294394,14,31.8,40,6,0,551319
Connecticut,State,1990,3287116,5.8,678.8,6,6,0,549278
Delaware,State,1990,666168,12.1,341.9,9,1,0,668696
District of Columbia,State,1990,606900,-4.9,9941.30,1,,,
Florida,State,1990,12937926,32.7,241.3,12,23,4,565364
Georgia,State,1990,6478216,18.6,112.6,23,11,1,591674
Hawaii,State,1990,1108229,14.9,172.6,15,2,0,557637
Idaho,State,1990,1006749,6.7,12.2,46,2,0,505993
Illinois,State,1990,11430602,0,205.9,13,20,-2,573334
Indiana,State,1990,5544159,1,154.8,18,10,0,556423
Iowa,State,1990,2776755,-4.7,49.7,35,5,-1,557485
Kansas,State,1990,2477574,4.8,30.3,41,4,-1,621400
Kentucky,State,1990,3685296,0.7,93.3,25,6,-1,616495
Louisiana,State,1990,4219973,0.3,97.7,24,7,-1,605459
Maine,State,1990,1227928,9.2,39.8,38,2,0,616612
Maryland,State,1990,4781468,13.4,492.6,7,8,0,599828
Massachusetts,State,1990,6016425,4.9,771.3,5,10,-1,602905
Michigan,State,1990,9295297,0.4,164.4,16,16,-2,583049
Minnesota,State,1990,4375099,7.3,54.9,33,8,0,548379
Mississippi,State,1990,2573216,2.1,54.8,34,5,0,517289
Missouri,State,1990,5117073,4.1,74.4,29,9,0,570867
Montana,State,1990,799065,1.6,5.5,50,1,-1,803655
Nebraska,State,1990,1578385,0.5,20.5,44,3,0,528206
Nevada,State,1990,1201833,50.1,10.9,47,2,0,603076
New Hampshire,State,1990,1109252,20.5,123.9,20,2,0,556958
New Jersey,State,1990,7730188,5,1051.10,2,13,-1,596049
New Mexico,State,1990,1515069,16.3,12.5,45,3,0,507260
New York,State,1990,17990455,2.5,381.7,8,31,-3,582081
North Carolina,State,1990,6628637,12.7,136.3,19,12,1,554803
North Dakota,State,1990,638800,-2.1,9.3,48,1,0,641364
Ohio,State,1990,10847115,0.5,265.5,11,19,-2,573017
Oklahoma,State,1990,3145585,4,45.9,36,6,0,526267
Oregon,State,1990,2842321,7.9,29.6,42,5,0,570747
Pennsylvania,State,1990,11881643,0.1,265.6,10,21,-2,567843
Puerto Rico,State,1990,3522037,10.2,1028.70,3,,,
Rhode Island,State,1990,1003464,5.9,970.6,4,2,0,502992
South Carolina,State,1990,3486703,11.7,116,22,6,0,584285
South Dakota,State,1990,696004,0.8,9.2,49,1,0,699999
Tennessee,State,1990,4877185,6.2,118.3,21,9,0,544071
Texas,State,1990,16986510,19.4,65,31,30,3,568660
Utah,State,1990,1722850,17.9,21,43,3,0,575928
Vermont,State,1990,562758,10,61.1,32,1,0,564964
Virginia,State,1990,6187358,15.7,156.7,17,11,1,565143
Washington,State,1990,4866692,17.8,73.2,30,9,1,543105
West Virginia,State,1990,1793477,-8,74.6,28,3,-1,600542
Wisconsin,State,1990,4891769,4,90.3,26,9,0,545194
Wyoming,State,1990,453588,-3.4,4.7,51,1,0,455975
Midwest Region,Region,1990,59668632,1.4,,,,,
Northeast Region,Region,1990,50809229,3.4,,,,,
South Region,Region,1990,85445930,13.4,,,,,
West Region,Region,1990,52786082,22.3,,,,,
United States,Nation,1990,248709873,9.8,70.4,,435,19,572466
Alabama,State,2000,4447100,10.1,87.8,28,7,0,637304
Alaska,State,2000,626932,14,1.1,52,1,0,628933
Arizona,State,2000,5130632,40,45.2,38,8,2,642585
Arkansas,State,2000,2673400,13.7,51.4,36,4,0,669933
California,State,2000,33871648,13.8,217.4,14,53,1,640204
Colorado,State,2000,4301261,30.6,41.5,39,7,1,615983
Connecticut,State,2000,3405565,3.6,703.3,6,5,-1,681907
Delaware,State,2000,783600,17.6,402.1,9,1,0,785068
District of Columbia,State,2000,572059,-5.7,9370.60,1,,,
Florida,State,2000,15982378,23.5,298,10,25,2,641156
Georgia,State,2000,8186453,26.4,142.3,20,13,2,631306
Hawaii,State,2000,1211537,9.3,188.6,15,2,0,608321
Idaho,State,2000,1293953,28.5,15.7,46,2,0,648637
Illinois,State,2000,12419293,8.6,223.7,13,19,-1,654686
Indiana,State,2000,6080485,9.7,169.7,18,9,-1,676754
Iowa,State,2000,2926324,5.4,52.4,35,5,0,586385
Kansas,State,2000,2688418,8.5,32.9,42,4,0,673456
Kentucky,State,2000,4041769,9.7,102.4,25,6,0,674905
Louisiana,State,2000,4468976,5.9,103.4,24,7,0,640039
Maine,State,2000,1274923,3.8,41.3,40,2,0,638866
Maryland,State,2000,5296486,10.8,545.6,7,8,0,663486
Massachusetts,State,2000,6349097,5.5,814,5,10,0,635557
Michigan,State,2000,9938444,6.9,175.8,17,15,-1,663722
Minnesota,State,2000,4919479,12.4,61.8,33,8,0,615709
Mississippi,State,2000,2844658,10.5,60.6,34,4,-1,713232
Missouri,State,2000,5595211,9.3,81.4,29,9,0,622918
Montana,State,2000,902195,12.9,6.2,50,1,0,905316
Nebraska,State,2000,1711263,8.4,22.3,44,3,0,571790
Nevada,State,2000,1998257,66.3,18.2,45,3,1,667344
New Hampshire,State,2000,1235786,11.4,138,22,2,0,619208
New Jersey,State,2000,8414350,8.9,1144.20,2,13,0,648027
New Mexico,State,2000,1819046,20.1,15,47,3,0,607940
New York,State,2000,18976457,5.5,402.7,8,29,-2,655344
North Carolina,State,2000,8049313,21.4,165.6,19,13,1,620590
North Dakota,State,2000,642200,0.5,9.3,49,1,0,643756
Ohio,State,2000,11353140,4.7,277.8,11,18,-1,631919
Oklahoma,State,2000,3450654,9.7,50.3,37,5,-1,691764
Oregon,State,2000,3421399,20.4,35.6,41,5,0,685709
Pennsylvania,State,2000,12281054,3.4,274.5,12,19,-2,647404
Puerto Rico,State,2000,3808610,8.1,1112.40,3,,,
Rhode Island,State,2000,1048319,4.5,1014.00,4,2,0,524831
South Carolina,State,2000,4012012,15.1,133.5,23,6,0,670844
South Dakota,State,2000,754844,8.5,10,48,1,0,756874
Tennessee,State,2000,5689283,16.7,138,21,9,0,633337
Texas,State,2000,20851820,22.8,79.8,30,32,2,653250
Utah,State,2000,2233169,29.6,27.2,43,3,0,745571
Vermont,State,2000,608827,8.2,66.1,32,1,0,609890
Virginia,State,2000,7078515,14.4,179.2,16,11,0,645518
Washington,State,2000,5894121,21.1,88.7,27,9,0,656520
West Virginia,State,2000,1808344,0.8,75.2,31,3,0,604359
Wisconsin,State,2000,5363675,9.6,99,26,8,-1,671401
Wyoming,State,2000,493782,8.9,5.1,51,1,0,495304
Midwest Region,Region,2000,64392776,7.9,,,,,
Northeast Region,Region,2000,53594378,5.5,,,,,
South Region,Region,2000,100236820,17.3,,,,,
West Region,Region,2000,63197932,19.7,,,,,
United States,Nation,2000,281421906,13.2,79.7,,435,12,646952
Alabama,State,2010,4779736,7.5,94.4,29,7,0,686140
Alaska,State,2010,710231,13.3,1.2,52,1,0,721523
Arizona,State,2010,6392017,24.6,56.3,35,9,1,712522
Arkansas,State,2010,2915918,9.1,56,36,4,0,731557
California,State,2010,37253956,10,239.1,13,53,0,704566
Colorado,State,2010,5029196,16.9,48.5,39,7,0,720704
Connecticut,State,2010,3574097,4.9,738.1,6,5,0,716326
Delaware,State,2010,897934,14.6,460.8,8,1,0,900877
District of Columbia,State,2010,601723,5.2,9856.50,1,,,
Florida,State,2010,18801310,17.6,350.6,10,27,2,700029
Georgia,State,2010,9687653,18.3,168.4,20,14,1,694826
Hawaii,State,2010,1360301,12.3,211.8,15,2,0,683431
Idaho,State,2010,1567582,21.1,19,46,2,0,786750
Illinois,State,2010,12830632,3.3,231.1,14,18,-1,714688
Indiana,State,2010,6483802,6.6,181,18,9,0,722398
Iowa,State,2010,3046355,4.1,54.5,38,4,-1,763447
Kansas,State,2010,2853118,6.1,34.9,42,4,0,715953
Kentucky,State,2010,4339367,7.4,109.9,24,6,0,725101
Louisiana,State,2010,4533372,1.4,104.9,26,6,-1,758994
Maine,State,2010,1328361,4.2,43.1,40,2,0,666537
Maryland,State,2010,5773552,9,594.8,7,8,0,723741
Massachusetts,State,2010,6547629,3.1,839.4,5,9,-1,728849
Michigan,State,2010,9883640,-0.6,174.8,19,14,-1,707973
Minnesota,State,2010,5303925,7.8,66.6,33,8,0,664360
Mississippi,State,2010,2967297,4.3,63.2,34,4,0,744560
Missouri,State,2010,5988927,7,87.1,30,8,-1,751435
Montana,State,2010,989415,9.7,6.8,50,1,0,994416
Nebraska,State,2010,1826341,6.7,23.8,45,3,0,610608
Nevada,State,2010,2700551,35.1,24.6,44,4,1,677358
New Hampshire,State,2010,1316470,6.5,147,23,2,0,660723
New Jersey,State,2010,8791894,4.5,1195.50,2,12,-1,733958
New Mexico,State,2010,2059179,13.2,17,47,3,0,689091
New York,State,2010,19378102,2.1,411.2,9,27,-2,719298
North Carolina,State,2010,9535483,18.5,196.1,17,13,0,735829
North Dakota,State,2010,672591,4.7,9.7,49,1,0,675905
Ohio,State,2010,11536504,1.6,282.3,12,16,-2,723031
Oklahoma,State,2010,3751351,8.7,54.7,37,5,0,752976
Oregon,State,2010,3831074,12,39.9,41,5,0,769721
Pennsylvania,State,2010,12702379,3.4,283.9,11,18,-1,707495
Puerto Rico,State,2010,3725789,-2.2,1088.20,3,,,
Rhode Island,State,2010,1052567,0.4,1018.10,4,2,0,527624
South Carolina,State,2010,4625364,15.3,153.9,22,7,1,663711
South Dakota,State,2010,814180,7.9,10.7,48,1,0,819761
Tennessee,State,2010,6346105,11.5,153.9,21,9,0,708381
Texas,State,2010,25145561,20.6,96.3,28,36,4,701901
Utah,State,2010,2763885,23.8,33.6,43,4,1,692691
Vermont,State,2010,625741,2.8,67.9,32,1,0,630337
Virginia,State,2010,8001024,13,202.6,16,11,0,730703
Washington,State,2010,6724540,14.1,101.2,27,10,1,675337
West Virginia,State,2010,1852994,2.5,77.1,31,3,0,619938
Wisconsin,State,2010,5686986,6,105,25,8,0,712279
Wyoming,State,2010,563626,14.1,5.8,51,1,0,568300
Midwest Region,Region,2010,66927001,3.9,,,,,
Northeast Region,Region,2010,55317240,3.2,,,,,
South Region,Region,2010,114555744,14.3,,,,,
West Region,Region,2010,71945553,13.8,,,,,
United States,Nation,2010,308745538,9.7,87.4,,435,12,710767
Alabama,State,2020,5024279,5.1,99.2,29,7,0,718579
Alaska,State,2020,733391,3.3,1.3,52,1,0,736081
Arizona,State,2020,7151502,11.9,62.9,35,9,0,795436
Arkansas,State,2020,3011524,3.3,57.9,36,4,0,753439
California,State,2020,39538223,6.1,253.7,13,52,-1,761091
Colorado,State,2020,5773714,14.8,55.7,39,8,1,722771
Connecticut,State,2020,3605944,0.9,744.7,6,5,0,721660
Delaware,State,2020,989948,10.2,508,8,1,0,990837
District of Columbia,State,2020,689545,14.6,11280.00,1,,,
Florida,State,2020,21538187,14.6,401.4,10,28,1,770376
Georgia,State,2020,10711908,10.6,185.6,19,14,0,766091
Hawaii,State,2020,1455271,7,226.6,15,2,0,730069
Idaho,State,2020,1839106,17.3,22.3,46,2,0,920689
Illinois,State,2020,12812508,-0.1,230.8,14,17,-1,754279
Indiana,State,2020,6785528,4.7,189.4,18,9,0,754476
Iowa,State,2020,3190369,4.7,57.1,38,4,0,798102
Kansas,State,2020,2937880,3,35.9,43,4,0,735216
Kentucky,State,2020,4505836,3.8,114.1,25,6,0,751557
Louisiana,State,2020,4657757,2.7,107.8,28,6,0,776911
Maine,State,2020,1362359,2.6,44.2,40,2,0,681791
Maryland,State,2020,6177224,7,636.1,7,8,0,773160
Massachusetts,State,2020,7029917,7.4,901.2,5,9,0,781497
Michigan,State,2020,10077331,2,178,20,13,-1,775726
Minnesota,State,2020,5706494,7.6,71.7,32,8,0,713719
Mississippi,State,2020,2961279,-0.2,63.1,34,4,0,740979
Missouri,State,2020,6154913,2.8,89.5,30,8,0,770035
Montana,State,2020,1084225,9.6,7.4,50,2,1,542704
Nebraska,State,2020,1961504,7.4,25.5,45,3,0,654444
Nevada,State,2020,3104614,15,28.3,44,4,0,777116
New Hampshire,State,2020,1377529,4.6,153.8,23,2,0,689545
New Jersey,State,2020,9288994,5.7,1263.00,2,12,0,774541
New Mexico,State,2020,2117522,2.8,17.5,47,3,0,706740
New York,State,2020,20201249,4.2,428.7,9,26,-1,777529
North Carolina,State,2020,10439388,9.5,214.7,17,14,1,746711
North Dakota,State,2020,779094,15.8,11.3,49,1,0,779702
Ohio,State,2020,11799448,2.3,288.8,12,15,-1,787257
Oklahoma,State,2020,3959353,5.5,57.7,37,5,0,792703
Oregon,State,2020,4237256,10.6,44.1,41,6,1,706917
Pennsylvania,State,2020,13002700,2.4,290.6,11,17,-1,765403
Puerto Rico,State,2020,3285874,-11.8,959.6,4,,,
Rhode Island,State,2020,1097379,4.3,1061.40,3,2,0,549082
South Carolina,State,2020,5118425,10.7,170.2,21,7,0,732102
South Dakota,State,2020,886667,8.9,11.7,48,1,0,887770
Tennessee,State,2020,6910840,8.9,167.6,22,9,0,768544
Texas,State,2020,29145505,15.9,111.6,26,38,2,767981
Utah,State,2020,3271616,18.4,39.7,42,4,0,818813
Vermont,State,2020,643077,2.8,69.8,33,1,0,643503
Virginia,State,2020,8631393,7.9,218.6,16,11,0,786777
Washington,State,2020,7705281,14.6,115.9,24,10,0,771595
West Virginia,State,2020,1793716,-3.2,74.6,31,2,-1,897523
Wisconsin,State,2020,5893718,3.6,108.8,27,8,0,737184
Wyoming,State,2020,576851,2.3,5.9,51,1,0,577719
Midwest Region,Region,2020,68985454,3.1,,,,,
Northeast Region,Region,2020,57609148,4.1,,,,,
South Region,Region,2020,126266107,10.2,,,,,
West Region,Region,2020,78588572,9.2,,,,,
United States,Nation,2020,331449281,7.4,93.8,,435,7,761169
